"column_name","data_type","character_maximum_length","column_default","is_nullable"
"id","bigint",NULL,NULL,"NO"
"master_uuid","uuid",NULL,NULL,"NO"
"effective_start_date","timestamp without time zone",NULL,NULL,"YES"
"effective_end_date","timestamp without time zone",NULL,NULL,"YES"
"date","timestamp without time zone",NULL,NULL,"YES"
"approval_date","timestamp without time zone",NULL,NULL,"YES"
"lastreview_date","timestamp without time zone",NULL,NULL,"YES"
"created_datetime","timestamp without time zone",NULL,NULL,"YES"
"updated_datetime","timestamp without time zone",NULL,NULL,"YES"
"experimental","boolean",NULL,NULL,"YES"
"url","character varying",255,NULL,"YES"
"description","text",NULL,NULL,"YES"
"purpose","text",NULL,NULL,"YES"
"resource_type","character varying",255,NULL,"YES"
"name","character varying",255,NULL,"YES"
"version","character varying",255,NULL,"YES"
"status","character varying",255,NULL,"YES"
"updated_by","character varying",255,NULL,"YES"
"created_by","character varying",255,NULL,"YES"
"title","character varying",255,NULL,"YES"
"publisher","character varying",255,NULL,"YES"
